iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.894227,345.337846,340.149016,334.921331,329.58265,324.341333,318.951508,313.58374,308.055431,302.709104,297.188819,291.663359,285.937058,280.395547,274.551653,268.697861,262.873299,256.749757,250.433338,243.939923,237.517516,231.006325,224.517658,217.979411,211.430695,204.841589,198.168768,191.614665,185.152852,178.772022,172.565398,166.67792,161.103446,155.757908,150.804475,146.127833,141.754005,137.533585,133.442065,129.377843,125.355003,121.226797,117.039735,112.804417,108.541833,104.299977,100.1038,95.946561,91.872054,87.951741,84.134583,80.466731,76.946254,73.553602,70.378269,67.45106,64.733878,62.276411
ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.271465,87.71124,80.804006,74.45574,68.567716,63.374841,58.738165,54.632151,51.010575,47.871515,45.102807,42.711483,40.679107,38.918426,37.363136,35.908,34.529018,33.161054,31.739362,30.281129,28.803422,27.362374,25.930495,24.508793,23.124638,21.769409,20.450229,19.16765,17.906862,16.680388,15.506995,14.384156,13.304655,12.304361,11.413321,10.653732,10.04741,9.595161,9.268774,9.022223,8.823329
DZA,NA,NA,NA,NA,243.268043,242.653481,242.777748,242.505185,242.46927,242.224781,242.541317,242.945366,243.42551,244.47756,245.690696,246.392714,247.13005,247.094774,246.272867,243.91103,240.44876,235.368777,229.158583,221.755634,213.086638,203.816015,194.162396,184.005883,173.307014,161.874833,149.013088,134.235612,118.038012,101.889223,86.963343,74.418036,64.981877,58.533464,54.215428,51.390292,49.518862,48.185586,47.054212,45.969448,44.778095,43.56583,42.481239,41.567551,40.831181,40.247155,39.679397,38.908747,37.822544,36.506594,35.047246,33.525825,32.054106,30.678218,29.43594,28.335259,27.408523,26.679637,26.140564,25.722228,25.337906,24.945531,24.509375,24.02287,23.482073
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.582968,13.716623,12.908323,12.17856,11.460343,10.800906,10.190729,9.626431,9.093302,8.583872,8.111299,7.691703,7.316993,6.974115,6.679565,6.405845,6.157839,5.931791,5.7084530000000004,5.494341,5.273603,5.049751,4.83551,4.617973,4.394705,4.181996,3.983726,3.792229,3.608592,3.434117,3.269651,3.135505,3.006443,2.893017
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.122109,235.581124,232.444664,229.985151,227.94755,226.192844,224.946713,224.101013,223.419086,223.296733,223.405082,223.571931,223.590336,223.687153,223.594401,222.88278,221.291701,218.831792,215.2984,210.871486,205.688525,199.722928,192.597896,184.752379,176.166534,166.791403,157.250939,147.736986,138.25003,129.015012,120.490376,112.501262,104.945195,98.400213,92.939875,88.126981,84.01329,80.441945,77.164501
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.976574,35.577929,33.464641,31.509469,29.675654,27.980312,26.387652,24.862368,23.416475,22.088549,20.843793,19.681271,18.593581,17.586737,16.671463,15.827955,15.060617,14.363876,13.730582,13.123221,12.529862,11.936938,11.349901,10.754671,10.169246,9.59057,9.037569,8.51503,8.043254,7.635903,7.286306,6.970962,6.692011,6.441448
ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.569955,71.757879,70.831256,69.663625,68.11201,65.981056,63.194694,59.676228,55.565159,51.173994,46.830568,42.829837,39.372347,36.515535,34.138196,32.148881,30.600487,29.591028,29.110364,28.934127,28.827267,28.610034,28.126395,27.314952,26.298536,25.216633,24.126842,23.078498,22.088542,21.177565,20.35628,19.615729,18.934493,18.29472,17.682678,17.089871,16.540521,16.074339,15.694544,15.33431,14.923425,14.440421,13.884563,13.270751,12.646419,12.045401,11.478305,10.937614,10.422626,9.944955
ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.913257,82.429303,79.124872,75.962956,72.922642,70.088355,67.361639,64.724417,62.212345,59.857926,57.539949,55.306925,80.799702,51.054848,48.96295,46.914157,44.883618,42.906753,40.956489,39.088477,37.311948,35.579262,33.903756,32.295791,30.75944,29.263858,27.844205,26.484127,25.176598,23.915769,22.732991,21.602145,20.516477,19.484424,18.522255,17.583453,16.69576,15.873172,15.11415,14.373374,13.664169,13.005093,12.380639
AUS,31.590502999999998,30.96827,30.254186,29.486272,28.718704,27.964462,27.260798,26.615975,26.010441,25.426958,24.854031,24.280138,23.721367,23.193717,22.725123,22.349179,22.101837,21.972596,21.877358,21.732167,21.452332,20.985018,20.30228,19.424992,18.395247,17.305861,16.231812,15.241034,14.367134,13.627303,13.026422,12.548192,12.172122,11.86252,11.581776,11.295046,10.97698,10.60836,10.185909,9.705629,9.187787,8.66193,8.153148,7.694651,7.312874,7.008589,6.77341,6.592904,6.446074,6.312226,6.186699,6.078227,5.987457,5.905259,5.82285,5.7247,5.590778,5.414963,5.211519,4.994446,4.770692,4.543398,4.322642,4.128976,3.976233,3.865674,3.788957,3.736805,3.688607
AUT,NA,NA,NA,NA,54.999642,53.405694,51.755297,49.949573,47.879122,45.425417,42.790322,40.243775,37.935718,35.916186,34.191319,32.740685,31.517875,30.509508,29.774232,29.344076,29.072488,28.690335,27.99896,26.804243,25.064372,23.044245,21.105249,19.448674,18.105754,17.081777,16.253735,15.503503,14.761343,14.022873,13.311752,12.604824,11.880635,11.154119,10.504687,9.977348,9.523071,9.055025,8.526133,7.954307,7.365911,6.81619,6.356607,6.014527,5.770292,5.610071,5.501367,5.409896,5.312296,5.19647,5.054399,4.902643,4.762709,4.646089,4.542129,4.438046,4.326647,4.195702,4.051597,3.914812,3.802312,3.714788,3.645093,3.584955,3.522741
